City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
283,Port Macquarie,AU,2020-02-19 18:59:14,-31.43,152.92,66.0,93,0,6.93
284,Ilulissat,GL,2020-02-19 19:04:09,69.22,-51.1,8.6,71,75,8.05
285,Northam,GB,2020-02-19 19:04:09,51.03,-4.22,50.0,81,40,11.41
286,Kajiado,KE,2020-02-19 19:04:10,-1.85,36.78,68.0,72,40,8.05
287,La Ronge,CA,2020-02-19 19:04:10,55.1,-105.28,-0.4,54,20,8.05
288,Prince Rupert,CA,2020-02-19 19:00:07,54.32,-130.32,41.0,60,90,14.99
289,Castro Marim,PT,2020-02-19 19:04:10,37.22,-7.44,64.0,77,20,5.82
290,Irbit,RU,2020-02-19 19:04:10,57.67,63.07,31.71,97,92,10.13
291,Sakakah,SA,2020-02-19 19:04:11,29.97,40.21,53.6,81,75,20.8
292,Souris,CA,2020-02-19 19:04:11,49.62,-100.26,-7.6,57,5,11.41
293,Barentu,ER,2020-02-19 19:04:11,15.11,37.59,77.29,42,7,15.99
294,Nome,US,2020-02-19 19:04:11,64.5,-165.41,16.0,72,90,11.41
295,Lorengau,PG,2020-02-19 19:01:06,-2.02,147.27,82.74,77,50,15.37
296,Palmer,US,2020-02-19 19:04:12,42.16,-72.33,44.01,35,40,19.46
297,Taltal,CL,2020-02-19 19:04:12,-25.4,-70.48,69.96,64,48,7.83
298,Morros,BR,2020-02-19 19:04:12,-9.45,-46.3,85.12,60,100,5.41
299,Santa Cruz,BO,2020-02-19 18:59:51,-17.8,-63.17,80.6,83,75,8.05
300,Sidney,AU,2020-02-19 19:02:13,-33.87,151.21,63.0,93,0,4.5
301,Camopi,GF,2020-02-19 19:04:13,3.17,-52.32,78.96,68,96,4.79
302,Dukat,RU,2020-02-19 19:04:13,62.55,155.55,-28.5,99,98,3.38
